ID,Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
7162,2001,0.01,0,0,0,0.01,46,4,2.4,21
2436,2002,0.01,0,0,0,0.01,64,7,8,4
2430,2002,0.01,0,0,0,0.02,55,15,8,5
4645,2002,0.01,0,0,0,0.02,89,11,7,6
18,2002,0.01,0,0,0,0.01,79,5,9.4,9
772,2002,0.01,0,0,0,0.02,35,4,8.7,10
6822,2002,0.01,0,0,0,0.01,41,5,4.3,12
599,2002,0.01,0,0,0,0.01,81,12,8.8,9
5458,2002,0.01,0,0,0,0.01,61,12,6.4,7
7,2003,0.01,0,0,0,0.01,81,9,9.5,4
4101,2003,0.01,0,0,0,0.01,45,9,7.3,8
7129,2003,0.01,0,0,0,0.02,24,7,2.8,17
5093,2003,0.01,0,0,0,0.02,57,17,6.7,7
2165,2003,0.01,0,0,0,0.01,75,14,8.1,8
6980,2003,0.01,0,0,0,0.02,30,9,3.6,12
3428,2003,0.01,0,0,0,0.01,67,10,7.6,5
2987,2003,0.01,0,0,0,0.02,71,19,7.8,6
1655,2003,0.01,0,0,0,0.02,77,24,8.3,12
7076,2003,0.01,0,0,0,0.01,27,9,3.1,19
7044,2003,0.01,0,0,0,0.02,23,21,3.3,23
596,2004,0.01,0,0,0,0.02,65,8,8.8,4
8,2004,0.01,0,0,0,0.01,78,13,9.5,4
4652,2004,0.01,0,0,0,0.01,69,12,7,9
6476,2005,0.01,0,0,0,0.01,49,9,5.2,5
6901,2005,0.01,0,0,0,0.02,46,25,4,5
7097,2005,0.01,0,0,0,0.01,69,27,3,4
3664,2005,0.01,0,0,0,0.02,74,9,7.5,4
3662,2005,0.01,0,0,0,0.02,45,10,7.5,4
6663,2005,0.01,0,0,0,0.02,43,13,4.8,5
6981,2005,0.01,0,0,0,0.02,38,9,3.6,7
5891,2006,0.01,0,0,0,0.02,44,7,6,5
4965,2006,0.01,0,0,0,0.02,60,17,6.8,6
4971,2006,0.01,0,0,0,0.01,64,35,6.8,8
88,2006,0.01,0,0,0,0.01,70,8,9.2,32
6902,2006,0.01,0,0,0,0.02,42,29,4,4
967,2006,0.01,0,0,0,0.02,72,34,8.6,9
6903,2006,0.01,0,0,0,0.02,36,6,4,5
1210,2006,0.01,0,0,0,0.02,71,37,8.5,11
2439,2006,0.01,0,0,0,0.01,82,22,8,52
3874,2007,0.01,0,0,0,0.02,74,12,7.4,7
6422,2007,0.01,0,0,0,0.01,57,9,5.3,11
2431,2007,0.01,0,0,0,0.02,84,32,8,19
4102,2007,0.01,0,0,0,0.01,61,27,7.3,106
3427,2007,0.01,0,0,0,0.01,71,30,7.6,124
6282,2007,0.01,0,0,0,0.01,56,13,5.5,4
3667,2007,0.01,0,0,0,0.01,61,7,7.5,4
1654,2007,0.01,0,0,0,0.02,84,55,8.3,231
2438,2008,0.01,0,0,0,0.01,58,6,8,4
1212,2009,0.01,0,0,0,0.01,75,13,8.5,6
6138,2009,0.01,0,0,0,0.02,67,28,5.7,49
4093,2009,0.01,0,0,0,0.02,72,31,7.3,129
2666,2010,0.01,0,0,0,0.02,82,73,7.9,319
6066,2011,0.01,0,0,0,0.01,61,12,5.8,43
7179,2012,0.01,0,0,0,0.01,49,32,2.1,39
2676,2012,0.01,0,0,0,0.01,78,13,7.9,121
7164,2016,0.01,0,0,0,0.01,42,9,2.3,7
2164,2016,0.01,0,0,0,0.01,75,24,8.1,7
1425,2016,0.01,0,0,0,0.01,77,20,8.4,62
7075,2016,0.01,0,0,0,0.01,56,4,3.1,14
2675,2016,0.01,0,0,0,0.01,80,13,7.9,14
6281,2016,0.01,0,0,0,0.01,51,28,5.5,39
7189,2016,0.01,0,0,0,0.02,48,4,2,53
2677,2016,0.01,0,0,0,0.01,61,9,7.9,14
5893,2016,0.01,0,0,0,0.02,49,15,6,29
4973,2016,0.01,0,0,0,0.01,70,27,6.8,64
1918,1992,0.02,0,0,0,0.03,85,44,8.2,1796
3870,2002,0.02,0,0,0,0.02,71,11,7.4,5
5774,2002,0.02,0,0,0,0.02,67,15,6.1,7
5890,2003,0.02,0,0,0,0.02,57,17,6,5
4964,2003,0.02,0,0,0,0.02,66,15,6.8,5
4644,2003,0.02,0,0,0,0.02,69,13,7,5
171,2004,0.02,0,0,0,0.02,62,11,9.1,9
4963,2004,0.02,0,0,0,0.02,59,26,6.8,4
1423,2004,0.02,0,0,0,0.02,69,18,8.4,9
6754,2004,0.02,0,0,0,0.02,53,11,4.5,8
5351,2005,0.02,0,0,0,0.02,63,14,6.5,4
4643,2005,0.02,0,0,0,0.02,33,14,7,9
6280,2005,0.02,0,0,0,0.02,48,15,5.5,4
7128,2005,0.02,0,0,0,0.02,33,9,2.8,4
5354,2005,0.02,0,0,0,0.02,58,11,6.5,4
3871,2005,0.02,0,0,0,0.02,73,20,7.4,5
2659,2006,0.02,0,0,0,0.03,64,15,7.9,10
3218,2006,0.02,0,0,0,0.02,46,7,7.7,6
5352,2006,0.02,0,0,0,0.02,62,20,6.5,11
4431,2006,0.02,0,0,0,0.02,59,8,7.1,11
3416,2006,0.02,0,0,0,0.02,51,24,7.6,14
6725,2006,0.02,0,0,0,0.02,65,16,4.6,17
7150,2007,0.02,0,0,0,0.03,33,4,2.5,4
4083,2007,0.02,0,0,0,0.03,45,9,7.3,4
7127,2007,0.02,0,0,0,0.02,19,6,2.8,25
6419,2007,0.02,0,0,0,0.02,58,7,5.3,6
4432,2007,0.02,0,0,0,0.02,62,16,7.1,29
4262,2007,0.02,0,0,0,0.02,79,15,7.2,63
5454,2008,0.02,0,0,0,0.02,62,12,6.4,5
6900,2008,0.02,0,0,0,0.02,35,10,4,6
6818,2008,0.02,0,0,0,0.02,40,21,4.3,4
7170,2009,0.02,0,0,0,0.02,39,8,2.2,5
2159,2009,0.02,0,0,0,0.02,63,9,8.1,8
4434,2009,0.02,0,0,0,0.02,71,27,7.1,38
7074,2009,0.02,0,0,0,0.02,39,11,3.1,61
4433,2010,0.02,0,0,0,0.02,63,17,7.1,72
4091,2011,0.02,0,0,0,0.02,81,26,7.3,399
4962,2011,0.02,0,0,0,0.02,67,21,6.8,29
3415,2011,0.02,0,0,0,0.02,51,8,7.6,47
4092,2012,0.02,0,0,0,0.02,62,11,7.3,12
5693,2015,0.02,0,0,0,0.02,63,4,6.2,5
2419,2015,0.02,0,0,0.01,0.04,71,24,8,30
6688,2016,0.02,0,0,0,0.02,55,19,4.7,34
6848,2016,0.02,0,0,0,0.02,55,13,4.2,94
1209,2016,0.02,0,0,0,0.02,79,9,8.5,15
